Error during initialization.;Fehler bei der Initialisierung
Old SQ3 architecture;Alte SQ3-Architektur
Both (Long & Short);Beide (Long & Short)
No symmetry;Keine Symmetrie
Entry symmetry;Einstiegssymmetrie
Exit symmetry;Ausstiegssymmetrie
Long only;Nur Long
Short only;Nur Short
Remove setup;Einstellungen entfernen
Do you want to remove selected setup?;Möchtest du die ausgewählten Einstellungen entfernen?
Symbol Name;Symbolname
Instrument Specification;Instrumentenspezifikation
Timezone;Zeitzone
Date from;Datum von
Date to;Datum bis
Total Days;Tage insgesamt
Total Records;Einträge insgesamt
Source;Quelle
Data type;Datentyp
Timestamp represents start of bar time (MetaTrader, Dukascopy, forex data);Zeitstempel repräsentiert Anfang der Kerzenzeit (MetaTrader, Dukascopy, Forex-Daten)
Timestamp represents end of bar time (NinjaTrader, Tradestation, futures data);Zeitstempel repräsentiert Ende der Kerzenzeit (NinjaTrader, Tradestation, Futures-Daten)
You have to select a symbol.;Du musst ein Symbol auswählen.
Do you want to remove selected symbols (%d) or only clear their data ?;Möchtest du die ausgewählten Symbole (%d) entfernen oder nur ihre Daten leeren ?
Do you want to remove symbol '%s' or only clear its data ?;Möchtest du das Symbol '%s' entfernen oder nur seine Daten leeren ?
You have to select some symbol.;Du musst irgendein Symbol auswählen.
Symbol name cannot contain any special characters!;Symbolname darf keine Sonderzeichen enthalten!
All data sources;Alle Datenquellen
All data types;Alle Datentypen
Reason to dismiss;Grund des Verwerfens
Count;Anzahl
% of all;% von allen
Avg. time;Durchschn. Zeit
Total time;Gesamtzeit
Total tested;Insgesamt getestet
Strategies generated;Generierte Strategien
Ranking Criterium;Ranking-Kriterium
Target;Ziel
No items available.;Keine Elemente verfügbar.
%s must be a number;%s muss eine Zahl sein
Strategy Name;Strategiename
Cannot get databank view;Kann Datenbankansicht nicht abrufen
No results in databank.;Keine Ergebnisse in der Datenbank.
Cannot delete records from databank when project is in loading/running state;Es können keine Einträge aus der Datenbank gelöscht werden, wenn das Projekt im ladenden/laufenden Zustand ist
Error while removing reports.;Fehler beim Entfernen der Berichte.
Strategy problems;Strategieprobleme
New view saved.;Neue Ansicht gespeichert.
View updated.;Ansicht aktualisiert.
View deleted;Ansicht gelöscht
Correlation matrix;Korelationsmatrix
Overlapping trades;Überlappende Trades
Computing portfolio correlation;Berechne Portfolio-Korelation
No strategy selected.;Keine Strategie ausgewählt.
Save source code;Quellcode speichern
Copy to clipboard failed.;Kopieren in die Zwischenablage fehlgeschlagen.
Code Editor;Code-Editor
Data Manager;Dateimanager
Grid Control;Grid-Control
Grid test;Grid-Test
Home;Home
Neural Network Trainer;Neurales Netzwerk Trainer
Custom Projects;Benutzerdefinierte Projekte
Wizard;Assistent
Monte Carlo retest;Monte Carlo-Retest
Data are imported historical data into the program. Data manager allows you to import history from files, or to download it directly from online sources.<br/>Every data is linked with instrument that contains the definition of the imported symbol.;Import historischer Daten in das Programm. Der Dateimanager lässt dich Historiendaten aus Dateien importieren oder direkt aus Online-Quellen herunterladen.<br/>Jeder Datensatz ist mit dem instrument verbunden, das die Definition des importierten Symbols enthält.
Instruments;Instrumente
Instruments are symbol specifications. Here you specify what is their type, point value pip/tick size, etc.<br/>For example, you can have multiple EURUSD data imported from various sources, but they all share the same instrument - EURUSD.;Instrumente sins Symbolspezifikationen. Hier gibst du an, was ihr Typ, Punktwert, Pip-/Tickgröße usw. ist.<br/>Du kannst z.B. mehrere EURUSD-Datensätze aus verschiedenen Quellen importieren, doch sie  verwenden alle dasselbe Instrument - EURUSD.
Sessions;Sessions
Sessions are definitions of trading time, from market opening to market closing.<br/>Please note that they are not used and not supported in forex / MetaTrader, you can safely use Forex_247 session in MT4.;Sessions sind Definitionen der Tradingzeiten, von der Eröffnung bis zum Schließen des Marktes.<br/>Bitte beachte, dass sie nicht in Forex / MetaTrader verwendet oder unterstützt werden, du kannst problemlos die Forex_247-Session im MT4 verwenden.
Dukascopy data;Dukascopy-Daten
File import;Datei-Import
Trades on chart;Trades auf dem Chart
View;Ansicht
Equity chart;Equitäts-Chart
Overview;Übersicht
Portfolio correlation;Portfolio-Korelation
Monte Carlo tests;Monte Carlo Tests
Source Code;Quellcode
Strategy config;Strategiekonfiguration
Trade analysis;Trade-Analyse
List of trades;Liste der Trades
Walk-Forward Results;Walk-Forward Ergebnisse
Test indicators;Indikatoren testen
Test indicator values between platforms;Indikatorenwerte zwischen Plattformen testen
Here you can choose the building blocks that will be used to generate every strategy. You can affect the probability of choosing a block by increasing its weight.<br>Every block has also advanced parameter settings that allow you to modify how block parameters are generated or define some predefined parameter sets to choose from.;Hier kannst du die Blöcke auswählen, die zum Generieren der Strategien verwendet werden. Du kannst die Wahrscheinlichkeit für die Verwendung eines Blocks beeinflussen, indem du seine Gewichtung erhöhst.<br>Jede Block hat auch erweiterte Parameter-Einstellungen, mit denen du einstellen kannst, wie die Blockparameter generiert werden oder du kannst vordefinierte Parameter-Sets definieren.
Cross checks (robustness);Cross-Checks (Robustheit)
"Cross checks allow you to run a sequence of further tests (cross checks) once the strategy passes the basic filters.<br/>You can have strategy retested with higher precision or run a Monte Carlo simulation or Optimization on it.<br/><br/>If you define also filters, you can automatically dismiss strategies that will not pass the cross check filter - this allows you to create a ""strategy testing funnel"" where only the strategies that pass all the tests are saved (this applies only to Builder).";"Cross-Checks lassen dich eine Sequenz weiterer Tests ausführen (Cross-Checks), nachdem die Strategie die Basisfilter bestanden hat.<br/>Du kannst die Strategie erneut mit erhöhter Präzision testen lassen oder eine Monte Carlo Simulation oder Optimierung darauf ausführen.<br/><br/>Wenn du zusätzlich Filter definierst, kannst du automatisch Strategien verwerfen, die den Cross-Check-Filter nicht bestehen - so kannst du einen ""Strategietest-Trichter"" erstellen, in welchem nur die Strategien gespeichert werden, die alle Tests bestehen (dies trifft nur auf den Generator zu)."
Configure trading engine, symbols and timeframes for the main backtest. You can configure also Out of sample (unseen) periods, and default spread, slippage, commissions.;Konfiguriere die Trading-Engine, Symbole und Timeframes für den Haupt-Backtest. Du kannst auch Out-of-sample (unbekannte) Perioden, und benutzerdefinierten Spread, Slippage, Kommissionen konfigurieren.
Filter strategies;Strategien filtern
Genetic options;Genetische Optionen
Configure Genetic options;Genetische Optionen konfigurieren
Configure initial capital and desired position sizing method.;Startkapital und gewünschte Positionsgrößen-Berechnungsmethode konfigurieren.
Notes;Bemerkungen
Save some notes about this configuration;Speichere Notizen über diese Konfiguration
Notification / Pause;Benachrichtigung / Pause
Choose strategy to optimize or alternatively optimize all strategies in source databank. You can also configure optimization type - simple or Walk-Forward.;Wähle die Strategie zum Optimieren aus oder optimiere alternativ alle Strategien in der Quelldatenbank. Du kannst auch den Optiierungstyp konfigurieren - einfach oder Walk-Forward.
Trading options define behavior of the strategy and affect how and when strategy trades. You can limit trading time to a range, close the trade at the end of range or limit maximum trades per day.;Die Tradingoptionen definieren das Verhalten der Strategie und beeinflussen, wie und wann sie tradet. Du kannst die Tradingzeit begrenzen, die Trades am Ende eines Bereichs schließen oder die maximalen Trades pro Tag begrenzen.
Choose which strategy parameters will be optimized. If you optimize all strategies in databank the parameters are configured in an automatic mode.<br/>You can choose which categoes of parameters will be optimized - periods, exit parameters (Stop Loss, Profit Target), numbers, nonstants..;Wähle die zu optimierenden Strategieparameter. Wenndu alle Strategien in der Datenbank optimierst, werden die Parameter im automatischen Modus konfiguriert.<br/>Du kannst auswählen, welche Kategorien vonParametern optimiert werden sollen - Perioden, Ausstiegsparameter (Stop Loss, Profit Target), Zahlen, Konstanten.
Configure which parts of the strategy should be improved. You can further configure if you want to replace the whole part, or add new blocks to it.;Lege fest, welche Teile der Strategie verbessert werden sollen. Du kannst weiterhin einstellen, ob du den ganzen Teil ersetzen, oder neue Blöcke hinzufügen möchtest.
Ranking;Ranking
Define how strategy rank is computed and how many strategies to save to databank.<br/>If filtering is available you can configure filters the strategy has to pass before it is saved.;Lege fest, wie das Ranking der Strategien berechnet wird und wie viele Strategien in der Datenbank gespeichert werden.<br/>Falls verfügbar, kannst du Filter konfigurieren, die die Strategie bestehen muss, bevor sie gespeichert wird.
Configure databank settings;Konfiguriere die Datenbank-Einstellungen
Clone to timezone;Nach Zeitzone Klonen
Mass delete;Massenlöschung
Export to CSV;Nach CSV exportieren
Export to MT4 (FXT & HST);Nach MT4 exportieren (FXT & HST)
Export to MT5 data (99% test);Nach MT5 exportieren (99% test)
View & Analyze;Anzeigen und analysieren
Add new Dukascopy data symbol;Neues Dukascopy-Datensymbol hinzufügen
Dukascopy Data Disclaimer;Dukascopy Daten Haftungsausschluss
Download data for existing symbol;Daten für bestehendes Symbol herunterladen
Import data from TickDownloader;Daten vom TickDownloader imprtieren
Add symbol;Symbol hinzufügen
Import file;Datei importieren
3D Optimization Chart;3D Optimierungschart
Add instrument;Instrument hinzufügen
Add session;Session hinzufügen
Build mode;Generierungs-Modus
# of Conditions, Periods;Anzahl an Bedingungen, Perioden
Profit Target;Profitziel
Stop Loss;Stop Loss
Strategy style;Strategie-Art
Trading directions;Trading-Richtungen
High;High
Low;Low
Volume;Volume
Median;Median
Typical;Typisch
Weighted;Gewichtet
Year Markers;Jahresmarkierungen
Trend line;Trendlinie
Choose Money Management method;Moneymanagement-Methode auswählen
Choose Risk Management method;Riskomanagement-Methode auswählen
Grid;Grid
Number of simulations;Anzahl an Simulationen
Additional backtest;Zusätzlicher Backtest
Add backtest;Backtest hinzufügen
Main test precision;Haupttest-Präzision
Main test spread;Haupttest-Spread
Cross check precision;Cross-Check-Präzision
Cross check spread;Cross-Check-Spread
Walk-Forward type:;Walk-Forward Typ:
Floating;Fluss
Fixed;Fest
Optimize:;Optimieren:
Maximum tests:;Maximale Tests:
you can limit the number of tests WF optimization performs, and thus limit its duration;du kannst die Anzahl an Tests, die die WF-Optimierung durchführt, begrenzen, wodurch sich die Dauer reduziert
Delete data;Daten löschen
Clear data;Daten bereinigen
Edit symbol;Symbol bearbeiten
Data settings;Dateneinstellungen
Data symbol name;Datensymbol-Name
Bar type;Kerzentyp
Strategy dismissal stats;Statistik verworfener Strategien
Total test times per elements;Gesamttestdauer pro Element
Total backtests performed (global);Backtests insgesamt ausgeführt (global)
Auto scroll;Autoscroll
Clear log;Log bereinigen
Clear log on start;Log beim Start bereinigen
Rejected;Verworfen
Detailed;Details
Accepted;Behalten
Time per strategy;Zeit pro Strategie
Time per accepted strategy;Zeit pro behaltener Strategie
Accepted strategies per hour;Behaltene Strategien pro Stunde
Running time so far;Laufzeit bisher
In databank;In der Datenbank
Total steps;Schritte insgesamt
X Axis;X-Axe
Trade;Trade
Time;Zeit
Drawdown;Drawdown
Stagnation;Stagnation
Equity;Equität
Template;Vorlage
Strategy is not a portfolio.;Strategie ist kein Portfolio.
Correlation by;Korrelation mit
Correlation of;Korrelation von
Allow negative correlation;Negative Korrelation erlauben
Add empty periods;Leere Perioden hinzufügen
Compute;Berechnen
Strategy doesn't have Monte Carlo tests stored.;Strategie hat keine Monte-Carlo-Tests gespeichert
Test choice;Testauswahl
Source code type;Quellcode-Typ
Save to file;In Datei speichern
Copy to clipboard;In Zwischenablage kopieren
MM used;MM verwendet
Put values to variables;Für Werte Variablen generieren
Generate symmetric variables;Symmetrische Variablen generieren
Strategy doesn't contain any setting.;Strategie enthält keine Einstellungen.
Apply strategy config;Strategiekonfiguration anwenden
Walk-Forward Optimization and Matrix Help;Walk-Forward-Optimierung und Matrix Hilfe
Robustness score;Robustheits-Bewertung
Number of Walk-Forward Optimization that passed;Anzahl an bestandenen Walk-Forward-Optimierungen
Filter settings;Einstellungen filtern
Robustness score is computed as a % of conditions that passed vs. all conditions;Die Robustheitsbewertung wird als Prozentsatz an Bedingungen berechnet, die bestanden wurden
Default WF conditions;Standard WF-Bedingungen
Display settings;Anzeigeeinstellungen
Options;Optionen
3D View;3D-Ansicht
Top View;Draufsicht
Results for;Ergebnisse für
Display options;Anzeigeeinstellungen
Value to display;Wert zum Anzeigen
If you define any conditions here they will be evaluated after this cross check is computed.;Wenn du hier Bedingungen definierst, werden sie ausgewertet, nachdem dieser Cross-Check berechnet wurde.
If strategy fails these conditions, it will be dismissed (thrown away) and no further cross check will be evaluated.;Wenn die Strategie diese Bedingungen nicht erfüllt, wird sie verworfen (gelöscht) und es wird kein weiterer Cross-Check ausgewertet.
Robustness score must be >;Robustheitsbewertung muss > sein
% to pass;% zum bestehen
WF Matrix produces a table of X rows and Y columns, where each cell is a different WF optimization test.;WF-Matrix erzeugt eine Tabelle mit X Zeilen und Y Spalten, in welcher jede Zelle ein anderer WF-Optimierungstest ist.
Filter passes when it finds an area of;Filter bestanden, wenn gefundener Bereich von
rows and;Zeilen und
columns;Spalten
where at least;worunter mindestens
results have robustness score >;Ergebnisse haben Robustheitsbewertungen >
Cross check;Cross-Check
Basic (fast);Grundlegend (schnell)
Cross Check Settings;Cross-Check-Einstellungen
Filters;Filter
These cross checks require none or only one additional backtest, so they are fast.;Diese Cross-Checks erfordern keinen oder nur einen zusätzlichen Backtest, daher sind sie schnell.
Standard (slow);Standard (langsam)
Cross checks that require multiple additional backtests, thus multiplying the time of processing the whole strategy.;Cross-Checks, die mehrere zusätzliche Backtests erfordern, wodurch sich die Zeit zur Verarbeitung der gesamten Strategie vervielfältigt.
Extensive (slowest);Ausgedehnt (am langsamsten)
Walk-Forward process is very slow, it requires tens or even hundreds of repeated backtests of the strategy in different time ranges and settings.;Der Walk-Forward-Prozess ist sehr langsam, er erfordert zig oder gar hunderte wiederholter Backtests der Strategie unter verschiedenen Zeitrahmen und Einstellungen.
Delete strategies in databank;Strategien in der Datenbank löschen
Copy from one databank to another;Von einer Datenbank in eine andere kopieren
Move from one databank to another;Von einer Datenbank in eine andere verschieben
Databanks;Databanken
Conditions;Bedingungen
Apply to strategies that fit the conditions below;Auf Strategien anwenden, die die untenstehenden Bedingungen erfüllen
Ignore strategies that fit the conditions below, apply to all others;Strategien ignorieren, die die untenstehenden Bedingungen erfüllen, auf alle übrigen anwenden
Add new condition;Neue Bedingung hinzufügen
Choose condition;Bedingung auswählen
Condition parameters;Bedingungsparameter
Databank:;Datenbank:
Comparison:;Vergleich:
Value:;Wert:
No tasks defined.;Keine Aufgaben definiert.
Task;Aufgabe
When Conditions Below Are True;Wenn die untenstehenden Bedingungen zutreffen
If no conditions exist then it is evaluated as true;"Wenn keine Bedingung existiert, wird es als ""wahr"" gewertet"
Notification type;Benachrichtigungstyp
Send email to;E-Mail senden an
Notification allows you to be notified when project flow gets to a certain point.;Benachrichtigungen geben dir Bescheid, wenn der Projektfluss einen bestimmten Punkt erreicht.
Pause project and wait for user action;Projekt pausieren und auf Benutzeraktion warten
If checked the project will pause until you unpause it.;Falls ausgewählt, pausiert das Projekt, bis du es fortsetzt.
This lets you do manual filtering of strategies or review of the project process.;So kannst du manuell filtern oder den Projektfortschritt begutachten.
Retest all strategies from databank;Alle Strategien in der Datenbank erneut testen
and store results in databank;und Ergebnisse in der Datenbank speichern
If you choose a different databank to store the retested results, the strategies will be copied to the destination databank;Wenn du zum Speichern des neuen Testergebnisses eine andere Datenbank wählst, werden die Strategien in die Zieldatenbank kopiert
Add new project;Neues Projekt hinzufügen
Project name;Projektname
Create;Erstellen
Create new project;Neues Projekt erstellen
Open existing project;Bestehendes Projekt öffnen
Add new task;Neue Aufgabe hinzufügen
Choose task type;Aufgabentyp wählen
Confidence level;Verlässlichkeits-Niveau
Clone to Timezone for;Nach Zeitzone klonen für
Clone to Timezone creates a copy of the source data with all times recomputed in a different timezone.;"""Nach Zeitzone klonen"" erstellt eine Kopie der Quelldaten und rechnet alle Zeiten in eine andere Zeitzone um."
"This way you can use one source data to create multiple ""clones"", each in its own timezone.";"So kannst du eine Quelldatei verwenden, um mehrere ""Klone"" zu erstellen, jeden in seiner eigene. Zeitzone."
Source data symbol name;Name des Quelldaten-Symbold
Source data timezone;Zeitzone der Quelldaten
Cloned data symbol name;Name des geklonten Datensymbols
Cloned data timezone;Zeitzone der geklonten Daten
add fixed shift;Feste Verschiebung hinzufügen
choose timezone;Zeitzone wählen
Remove weekends;Wochenenden entfernen
Proceed;Fortfahren
Export data for;Daten exportieren für
Choose data range to export;Datenbereich zum Exportieren wählen
Select timeframe;Timeframe auswählen
Select target;Ziel auswählen
File prefix;Datei-Präfix
Export;Exportieren
Export to MetaTrader 4 FXT and HST for;Exportieren nach MetaTrader 4 FXT und HST für
Please note that MT4 has file-size limit of maximum 4GB, it won't be able to process bigger data files.;Bitte beachte, dass der MT4 eine Dateigrößenbegrenzung von maximal 4GB hat, er kann keine größeren Dateien verarbeiten.
Output folder;Augabeordner
MT4 Installation;MT4-Installation
MT4 Data Folder;MT4 Datenordner
Server name;Servername
Name in MT4;Name im MT4
Load other MT4 data specification file;Datei mit anderer MT4-Datenspezifikation laden
Start export;Export starten
Export to MT5 data (99% history quality) for;Exportieren nach MT5-Daten (99% Historienqualität) für
Select timeframe to export;Timeframe zum Exportieren wählen
Tick data;Tickdaten
M1 data;M1-Daten
Use fixed spread;Festen Spread verwenden
User real spread from Tick data;Echten Spread aus Tickdaten verwenden
View data for;Daten anzeigen für
Symbol name;Symbolname
Instrument;Instrument
Imported timeframe;Importierter Timeframe
Imported records;Importierte Einträge
View timeframe;Timeframe anzeigen
session;Session
Session End Means EOD;Session-Ende bedeutet EdT
session template;Session-Vorlage
Session name;Session-Name
Add Mon-Fri;Mo-Fr hinzufügen
Remove;Entfernen
Note: Session times are based on exchange;Hinweis: Sessionzeiten unterliegen dem Austausch
Add Dukascopy data;Dukascopy-Daten hinzufügen
Choose from available data;Aus verfügbaren Daten auswählen
Show types;Arten anzeigen
Data postfix {Symbol};Daten-Postfix {Symbol}
This postfix will be optionally added to the data names created;Dieses Postfix wird optional dem Namen der erstellten Daten hinzugefügt
StrategyQuant CDN Data Disclaimer;StrategyQuant CDN Daten Haftungsausschluss
Disclaimer;Haftungsausschluss
In order to provide faster downloads for its clients StrategyQuant offers pre-packaged Dukascopy data for some of the symbols on its own CDN servers.;Um seinen Klienten schnellere Downloads zur Verfügung zu stellen, bietet StrategyQuant vorbereitete Dukascopy-Daten für einige Symbole auf seinen eigenen CDN-Servern an.
The data availabe on SQ CDN were created from original Dukascopy data obtained from Dukascopy website. StrategyQuant does not guarantee that the data prepared on its CDN servers exactly match Dukascopy data.;Die auf SQ CDN verfügbaren Daten wurden aus original Dukascopy-Daten erstellt, bezogen von der Dukascopy Website. StrategyQuant garantiert nicht, dass die vorbereiteten Daten auf seinen CDN-Servern exakt den Dukascopy-Daten entsprechen.
"The data are provided ""AS IS"", ""AS AVAILABLE"", ""WITH ALL ITS FAULTS"" and is offered without any covenants or any express, implied or statutory warranties including (without limitation and qualification) any warranties as to accuracy, functionality, performance, merchantability, quiet enjoyment, system integration, data accuracy or fitness for any particular purpose and any warranties arising from trade usage, course of dealing or course of performance.";"Die Daten werden ""WIE SIE SIND"", ""WIE VERFÜGBAR"", ""EINSCHLIßLICH JEGLICHER FEHLER"" und ohne Gewährleistung angeboten, es besteht keinerlei Garantie auf Akuratheit, Funktionalität, Leistung, Handelbarkeit oder ähnliches."
Download Dukascopy data for;Dukascopy-Daten herunterladen für
Choose data range to download;Datenbereich zum Herunterladen auswählen
Redownload options;Optionen für erneutes Herunterladen
Add only missing data;Nur fehlende Daten hinzufügen
Overwrite existing data;Bestehende Daten überschreiben
Fast Data Download;Schneller Datendownload
Fast download from StrategyQuant CDN (10 x faster download);Schneller Download von StrategyQuant CDN (10 x schnellerer Download)
If on, Dukascopy data will be downloaded from prepared packages on StrategyQuant CDN servers.;Wenn aktiv, werden die Dukascopy-Daten aus vorbereiteten Paketen von den StrategyQuant CDN-Servern heruntergeladen.
Please not that pre-prepared packages are available only for part of the data.;Bitte beachte, dass vorbereitete Pakete nur für einen Teil der Daten zur Verfügung stehen.
StrategyQuant CDN data disclaimer;StrategyQuant CDN-Daten Haftungsausschluss
Start download;Download starten
Import data from TickDownloader for;Daten aus TickDownloader importieren für
If you have TickDownloader installation you can import the data directly from the TD downloaded data folders.;Wenn du den TickDownloader installiert hast, kannst du die heruntergeladenen Daten direkt aus den TD-Dateiordnern importieren.
Please select your TickDownloader installation folder below.;Bitte wähle dein TickDownloader Installationsverzeichnis unten aus.
TickDownloader Installation;TickDownloader-Installation
Start import;Imprt starten
Data import for;Datenimport für
Choose file;Datei auswählen
Data file;Datendatei
Imported data timezone;Zeitzone der importierten Daten
File format;Dateiformat
Predefined file format;Vordefiniertes Dateiformat
Skip;Überspringen
rows;Zeilen
Separator;Trennzeichen
Date format;Datumsformat
Start Import;Import starten
Records;Einträge
DATABANKS;DATENBANKEN
STRATEGIES;STRATEGIEN
#NAME?;#NAME?
Strategy last test;Letzter Test der Strategie
Project config;Projektkonfiguration
Period by;Periode nach
Open Time;Eröffnungszeit
Close Time;Schlusszeit
Text;Text
Case sensitive;Groß-/Kleinschreibung
Regular expression;Regulärer Ausdruck
Whole word;Ganzes Wort
Save as..;Speichern unter..
Create new directory;Neues Verzeichnis erstellen
Create new;Neu erstellen
Rename file;Datei umbenennen
Modify indicator parameters;Indikatorparameter ändern
default:;Voreinstellung:
Shift;Versatz
Errors;Fehler
Indicator tester;Indikatoren-Tester
Bars to reserve;Zu reservierende Kerzen
Test data folder;Testdaten-Ordner
How to make an indicator test file;Wie man eine Indikator-Testdatei erstellt
Download complete indicators tests;Vollständige Indikatoren-Tests herunterladen
Number of bars to be ignored at the beginning of the file. This setting is necessary, because some indicators have a certain initialization period during which the values may not match.;Anzahl zu ignorierender Kerzen am Dateianfang. Diese Einstelung ist notwendig, weil einige Indikatoren eine bestimmte Initialisierungsperiode besitzen, während der die Werte möglicherweise nicht übereinstimmen.
Add new test;Neuen Test hinzufügen
New indicator test;Neuer Indikatorentest
Select indicators to test;Indikatoren zum Testen auswählen
Edit block;Block bearbeiten
Randomly choose 100 blocks;Zufällig 100 Blöcke auswählen
Add 10 random blocks;10 zufällige Blöcke hinzufügen
Edit possible options;Mögliche Optionen bearbeiten
Hide chart;Chart verbergen
Show chart;Chart zeigen
Add OOS;OOS hinzufügen
Max # of Generations;Max. Anzahl an Generationen
Population Size (per island);Populationsgröße (pro Insel)
Crossover Probability;Keuzungswahrscheinichkeit
Mutation Probability;Mutationswahrscheinlichkeit
Islands options;Inseloptionen
Islands (separate evolution);Inseln (Separate Evolution)
Migrate every Xth generation, X =;Jede X-te Generation migrieren, X =
Population migration rate;Populations-Migrations-Rate
Initial population generation;Generierung der Ausgangspopulation
Use strategies from Initial population databank as evolution start;Strategien aus der Ausgangspopulations-Datenbank zum Start der Evolution verwenden
Required size;Erforderliche Größe
if not used or not enough, rest will be generated;Wenn nicht verwendet oder nicht ausreichend, wird der Rest generiert
Generated decimation coefficient;Generierter Dezimal-Koeffizient
Filter generated initial population;Generierte Ausgangspopulation filtern
Evolution management;Evolutions-Management
Start again when finished (continuous repeating evolution);Nach Abschluss neustarten (fortlaufende, wiederholte Evolution)
Restart evolution if fitness of;Evolution neustarten, wenn Eignung von
stagnates for;stagniert für
generation(s);Generation(en)
Choose initial capital;Anfangskapital auswählen
Initial capital;Anfangskapital
Choose strategy to optimize;Strategie zum Optimieren auswählen
Select strategy file;Strategiedatei auswählen
All strategies in databank;Alle Strategien in der Datenbank
Optimization settings;Optimierungseinstellungen
Simple optimization;Einfache Optimierung
Walk - Forward optimization;Walk - Forward Optimierung
Store all optimizations into databank;Alle Optimierungen in der Datenbank speichern
Store only best optimization;Nur die beste Optimierung speichern
Build and Trading Options;Generierungs- und Tradingoptionen
special parameter relation;Besondere Parameter-Relation
Simple comparison;Einfacher Vergleich
Comparison;Verlgeich
Is between;Ist zwischen
is between;ist zwischen
and;und
If - Then;Wenn - Dann
If;Wenn
Then;Dann
Optimization method;Optimierungsmethode
Parameter settings;Parameter-Einstellungen
Manual;Manuell
Automatic;Automatisch
What to parametrize:;Was parametisieren:
settings;Einstellungen
Maximum optimizations:;Maximale Optimierungen:
Total parameters combinations:;Parameter-Kombinationen insgesamt:
Preset selected parameters with;Ausgewählte Parameter voreinstellen mit
% distribution;% Verteilung
Maximum steps:;Maximale Schritte:
Special parameter relations;Besondere Parameter-Relationen
Select/unselect all;Alle aus-/abwählen
Choose parts to improve;Teile zum Verbessern auswählen
Entry rules;Einstiegsregeln
LONG;LONG
SHORT;SHORT
Exit rules;Ausstiegsregeln
Note - If you want to change symmetry of entry or exit block, you can do it in What to build tab.;"Hinweis - wenn du die Symmetrie des Einstiegs- oder Ausstiegsblocks ändern möchtest, kannst du dies im Tab ""Was generieren"" tun."
Strategy Quality ranking (fitness);Strategiequalitäts-Ranking (Eignung)
Compute from;Berechnen von
Configure automatic filter;Automatischen Filter konfigurieren
Automatic filter should be used to dismiss strategies that are obviously wrong, for example don't;Der automatische Filter sollte verwendet werden, um Strategien zu verwerfen, die offensichtlich falsch sind, zum Beispiel nicht
Dismiss strategies with these problems:;Strategien mit diesen Problemen verwerfen:
Select all / Deselect all;Alle aus-/abwählen
Maximum strategies to store in databank;Maximale Anzahl an Strategien in der Datenbank
Stop generation when;Generierung stoppen wenn
Never;Niemals
Totally;Insgesamt
strategies (that passed filters) were generated;Strategien (die die Filter bestehen) generiert wurden
Databank is full (reached maximum capacity);die Datenbank voll ist (Maximalkapazität erreicht)
Strategy filtering conditions;Strategiefilter-Bedingungen
Configure which strategies will be saved into Results databank;Lege fest, welche Strategien in der Ergebnisdatenbank gespeichert werden
Automatic filters;Automatische Filter
Configure automatic dismissal;Automatisches Verwerfen konfigurieren
Custom filters;Benutzerdefinierte Filter
Cross check filters;Cross-Check Filter
In addition to global filters you can filter out strategy also in cross checks.;Zusätzlich zu den globalen Filtern kannst du die Strategie auch in den Cross-Checks filtern.
These filters are configured separately in every cross check method used.;Diese Filter werden separat in jeder verwendeten Cross-Check-Methode konfiguriert.
Filter;Filter
Output databank;Ausgabedatenbank
Simple strategy [default];Einfache Strategie [Standard]
Simple strategy running on one symbol and timeframe;Einfache Strategie, die auf einem Symbol und Timeframe läuft
Multi-TF or multi-symbol strategy;Multi-TF oder Multi-Symbol-Strategie
Strategy looking at main chart and;Strategie, die den Hauptchart betrachtet und
additional charts. These can be just another timeframes of original chart or totally different symbols/TFs.;zusätzliche Chats. Dies können einfach andere Timeframes der Ausgangscharts sein oder völlig andere Symbole/TFs.
It trades only on the main chart.;Tradet nur auf dem Hauptchart.
Strategy from template;Strategie aus Vorlage
Strategy created from the template;Strategie aus der Vorlage erstellt
Improve some parts of existing strategy / strategies;Teile einer/mehrerer bestehender Strategie(n) verbessern
Improve all strategies in databank;Alle Strategien in der Datenbank verbessern
Additional build config;Zusätzliche Generierungskonfiguration
Use predefined config or create your own in advanced settings;Verwende die vordefinierte Konfiguration oder erstelle in den erweiterten Einstellungen deine eigene
Trend following;Trendfolge
Mean reversal;Hauptrichtungs-Umkehr
Fuzzy;Fuzzy
Daily;Daily
Custom config;Benutzerdefinierte Konfiguration
Go to advanced settings;Gehe zu erweiterten Einstellungen
What to do;Was tun
Tasks;Aufgaben
DATABANKS:;DATENBANKEN:
STRATEGIES:;STRATEGIEN:
Optimization type;Optimierungstyp
Walk-forward;Walk-forward
Walk-forward matrix;Walk-forward Matrix
Out of sample %;Out-of-Sample %
Walk Forward runs;Walk-Forward Durchläufe
Strategy to optimize;Strategie zum Optimieren
Chart is not available for tick data.;Chart ist nicht für Tickdaten verfügbar.
Loading data...;Lade Daten...
Summary;Zusammenfassung
Issue;Fehler
% of data;% der Daten
Gaps;Lücken
Spikes;Ausschläge
Bad OHLC;Schlechtes OHLC
Graphical view;Grafische Ansicht
Detailed list;Detailliierte Liste
Processing ...;Bearbeitung…
Analyze data quality is not available for Tick and Intraday data.;Datenqualitäts-Analyse ist für Tick- und Intraday-Daten nicht verfügbar.
Correlation based on;Korrelation basierend auf
